DiscordUsername,DiscordID,RobloxUsername
Navaldex,1402299012308271164,Roast-Bot
coldywzz,1080039878340915222,Oyen_oren452
luka_modric247,916284120714321940,udhakds_noob2pro
important91,320581482978738176,Inwbigtu44
success_corn,985550417612132372,BISMARK_GERMAN
alternativeforanalternative,1024266899745406986,BallisticsBlast
wassoiguy,1207314080377868322,sarrakadem
help_me5895,886248052271243274,bloamedYt
me02470,1206280220244451398,ilove_tanksngl
ploofilization,712687735432806520,JacedareIIe
siber1910,862454269714497556,diegoPRO728
mr.wrong0327,1384339714055733309,Nuclear_Pan
gabry.r.,1339225790017044584,Ibrahimovic312
navalblade,1340294038141534258,yoyoyoyoyNiv
dum_snatcher01,1395368732666101850,nighthunter712
jukeboxthesecond,838304838298501130,Jadosuperrfann
yikticx,960216225936441344,OverI3test_thank
romechplayz,850315153371168789, Rojackterminater
Rythm,235088799074484224,Rythm
mr_weener,1230257377752776715,DocRyder212
josh_1_1_1_1,1387430937410932777,tinydino340
shapeless.meadows,1071193045405536406,Atlas_Pendulum
Ballsdex,999736048596816014,Ballsdex
sadtoast01,1286746300095922239,im_jag15
onelegitperson_01421,1279396595615400038,Jollygirl90865
hatrrd,1286991372590645310,chc907
themightybismarck1,1043953586419281962,TheMightyBismarck1
.seaside1223,1336532801348178034,TheHunterZ_1213
stellanakal,1176083017727488074,djsherly
faxuallus,1328491518620602509,faxuallus_TOBA
daryl7579,421945760683130880,drryltn
tikno_,909323621753843723,Dang_Lots
cloaker_429days,1067685191491006505,SHREK_SLAYER141
pillowcenat67,1187644569484013641,ayam_sering
godjamal_1245,1229703900307656786,THAILAND_YEAH3
pyzerest,969258491313270864,Renowhale1661
bwaynem,898591162233925682,waynetse0424
justakitcatbar,1027917028188749904,SuperRobloxGamer_X
Carl-bot,235148962103951360,Big Wass
voidice,928118038719500399,EliteUnitBlue
shady069828,1328121397666512897,Sawyerlikeswolf2
jovial_unicorn_19201,1373492996145680418,elegantwaffle25
d3lta_force,1127930229877395517,Risky_Lisky123
ap0llonother3,1402336590331772929,gmorgan_2009
scorpii1,1013447993225134121,2e9m
mustange,668554548431814686,Mustang2049
sapporohokkaido,1322902758705336331,mikinakae
carved6136,942015035310489600,shadow_456000
jack.exe.,1249023344762818596,JACK_EXE777
ikea_7543,1072044680923066408,ikea_7543
obi_wan_toadi,944660291315175546,minicrewposter
doppelganger20,762377370279215144,dead mf 😂 😂 🤣 🤣🤪😹😹😹😹😹😹😹😹😼😜😜
ampersandium,1030937402040139856,Ampersandium
display8259,848933240723210241,xdj3pr
8vix,940613177178198046,exdendri
Blitzmarine,1429781194366783558,Blitzmarine
.securityseb.,1037009866377678878,SecuritySeb
somthingdem,869577555840213012,demskeels505
.britishbloke,536771487902859264,Tommyplays1912
icommitdoodle,1066612457403076648,SUS_TomDragonz
goergegigglington,1053615568944640080,Robo_layer
princedogethethird,994823657996177458,Dragonslayer_1107
lazyslothster,730642159731998774,atomch565
theoremoftriangles,761969683683213372,samchaojack
icecubeicecream,1301546487003746355,Icecubeicecream1
nariner,936237616217587722,Nariner772
a5.salt,1430546221260476466,OverI3test_thank
x_chisato_xx,1130376651583266826,Pure_Boycyp015
whosriyon,918313449656840202,Riyon315
itsallpixels,803113397213462588,Reality_Arts
paopaolong9,1119627565389332501,paopaolong9
BlitzDex,1430065794531856467,Blitzdex
ray_goes_yard,699706007084859453,Footmanjoe
modata_,1307407352697192510,RakuzanModata
vacant8850,890391893136011285,infinite_south
ultratails_,1287323044942975002, sorhsothsoth_404
theburningsparrow,1030197648721969253,XxjadenbossbxX
atkpen,1037359630097076225,penny09n2
ravedarester,888429512226922526,apk989
.dynamoe,827832454982402059,meep_master32
amongus5656,1089419461934727199,phoenixs988
meltisay,1058715960057540728,meltisay
1mzo1mz0,1115566776625922149,ilovepoland696969
yoshuze,1281972980150440040,Yoshuze
salvii0973,1331414587232223309,disabled sigma😝😝😂😝🤯
electricx_is_pro,737030935996006450,Electric_pants123
atanamirhendrik,1265122261778567219,Vreugde5
whitestuka2,1388765059370586182,whitestuka2
acchy0516,1393138671208759377,xenogeer
whentheit,1193555060047745056,GustyMeerkat
indecisivehenry,1250827450594754760,IndecisiveHenry
o5yt_rico,892785060858699786,Ricocoolde
alh4n_z,1332408760165208156,William_randomdude
ok.hai_darling,959788112526061599,jtfhdllv4
_mirovic,430111748050124801,OreGIO
yiobangua,835355123341066292,yiobangua
yntrqw,1177267159899062383,BraxtonGriffiths1
kep1erving,1274756794622677022,kep1erving
.makeitwithyou,860229774005239828,Olah1982
valt_aoi207,1360907063479242763,juanenriquo0803
swagalitouness,568495237060624398,swagalitousness
nosoytoertilla_69204,1150736270738333697,alanj221
akimboknocks,1003512383685263381,ScaryxxJuanjo256
celt0913,1347099224982032395,llovecookiesoo123
pierrejoaquin_unitedkingdom,1260220495626899526,PJ121313
zczrzyz,1107272000109559898,zczrzyz
kushagra7673,1081314550307098694,Harmlesspotato60
flxyed,1158361006356041740,hellosportyperson484
showershitteramiel,1173275885189738558,AM1EL_HADEEF
nikk_32983,1232072960299368599,nickjrtoday8
Dyno,155149108183695360,Dyno
mokeyu,897476441749471262,Pope Freem III
goodmobilerobloxplayer,876672504280780880,TheJazzB
theunknown098965334,1230130106719272980,ITSCONCEPTFILM
warriorcreeper.,1222053149473505321,warriorcreeper123..
subabarin2139,659193269942616076,sturgeon_god
meow_toast,1255065022875304039,ReincarnatedAsToast
aufcon,719317545651404872,Ant1_P4rry
waah3325,1032280115511558174,NOZBN_2
dead5546,616496814652129280,dead5546
flight_lieutenant_ducky,1004894229262237727,257dt
squagy445,1392601923634598059,Capt_army1234
wintuuza1,835759915673976853,wintuuza1
pheastin,619909587138773023,almtuyung
sigmaflmes,1377297066904125450,sigmatharuka
avela08,656929866133929986,Ren4049M
w4lk3r_12,1144774850540478587,luc4s141112
deltarization,987621851666718750,Jacedarelle
EZ,1121254900563705958,EZ
Make it a Quote,949479338275913799,Make it a Quote
psidraze,856792067103391744,99_iRevenge96
jameskii2,1065567825726541884,mrtomatot
TTS Bot,513423712582762502,TTS
keytohell,785729729537638401,EJGamer0915
kmsbismarck5959,880834681644408892,hams3297
north.iv,798061986004205578,North_IV
hybrid_journal2345,1283461830131454116,Soviet_Union2345
who.areyou1,1256304028455932106,Blazinghotjj
opagangnamkominotski,1415325803180331048,kominotski
eehookoo,1051976566214766632,eehookoo
pointymctest2,478644410096156672,pointymctest2
myra_11,1118797271107121253,myrahumaira11
arifrad_speed_113,443217836983189504,radspeed113
slaverylegali,1101373183048818708,the903storageaccount
salviiii0937,1431978216960294962,Salvi44i
kyriearendil2,1407609325840633877,KyriEarendil
engineertf21,1069050654624055326,Someone
targec_groceries,1213715875648245773,Targec_Ceo
sulista_com_calor,838567846933954600,Blitzmeianove
Assyst,571661221854707713,Assyst
mostlymono,911521189812391966,MostlyMono
coolblock5055_alt,1372825829352144969,UglyBlock5055
minflaw,871448305161338922,PIRATE_KINGLUFFY06
wells01514,1261309416439943230,EPSON7070
gigachad_darsh,1151872484937834496,gutalidarsh
taxolous,980105142898671649,Lion King I
nikocamera1,1185259702171484304,Danneilus
zelethea,1048957953660690432,Zelethea
asa.maru,1095669363249524847,Boi_212gaming
coolbeans08125,1292977567350919279,xXTreadstoneXx
apageofabook,869503277518164018, jp9999999kakalog
danillo1_,961414109805568120,DaniloBR947
malaysiasoldier2,975851504936300644, Lazy Malaysiasoldier2
lelouch_76,757761563116568692,cooperativegem3521
fabianmaster777.,1233310824735703106,RoBdabestofalltime
nikoknot1,1231281547907174463,Nikoknot
pigeoneater0635,1363210423855218949,Lukas10856
dinie_blox,1094384328181551216,dinieilman24
leepiccountryballer,1311701546295361608,NoobyOfNooblandia
dv_men,980960040418684958,Cesar6324_2
tyavaj,570358869235073042,RobTristin
johnthegoat12364,1302542217654833223,drnjsjsjsjrj
rhfifcdhdc,822625809390895114,rhfifcdhdc
idontknowwhattonamemyself0967,703494331675443250,rainbow_dash5364
notakorean,1305119253560688701,NotKorian
duwang1504,745251768832884758,asvcjits
netharian_order_nethy,748888893650239578,MrNetherriteMaster
not_baconlegend,1099952404809658448,Not_BaconLegend
gaventara,1152943177548955700,YeetMobile200
pirozed.,1144069697483055154,Pirozed
spacebird15,1190039242202689659,edward4444444
notsymbolic_,1113195071999840287,NotSymbolic
andre_hanami,1308774802168741929,sersertiolo
noctuliandirlewangersleeperagent,1383174617505599498, davindaviny
mochi13334,1297903462893490241,tamanim1_4
